"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"15020","10-03-25 20:45","Italy","Serie A","2024/2025","Lazio","Udinese","1.86","3.49","4.80","1.06","10.50","1.30","3.68","2.03","1.88","3.50","1.33","7.18","1.11","1.76","2.06"
"15021","09-03-25 20:45","Italy","Serie A","2024/2025","Juventus","Atalanta","2.60","3.16","3.03","1.07","9.47","1.31","3.58","2.14","1.80","3.61","1.31","7.18","1.11","1.76","2.06"
"15022","09-03-25 18:00","Italy","Serie A","2024/2025","Empoli","AS Roma","4.16","3.28","2.06","1.07","9.47","1.34","3.37","2.14","1.80","3.94","1.27","8.05","1.09","1.83","1.98"
"15023","09-03-25 15:00","Italy","Serie A","2024/2025","Napoli","Fiorentina","1.63","4.14","6.31","1.03","7.50","1.36","2.83","2.24","1.76","3.72","1.22","7.10","1.04","2.21","1.63"
"15024","09-03-25 12:30","Italy","Serie A","2024/2025","Verona","Bologna","5.82","3.55","1.73","1.09","8.42","1.38","3.16","2.24","1.73","3.94","1.27","8.05","1.09","2.02","1.80"
"15025","08-03-25 20:45","Italy","Serie A","2024/2025","Inter","Monza","1.16","8.13","21.00","1.03","15.00","1.19","5.00","1.51","2.63","2.26","1.67","4.14","1.25","2.33","1.61"
"15026","08-03-25 18:00","Italy","Serie A","2024/2025","Lecce","AC Milan","5.10","3.57","1.80","1.06","10.50","1.30","3.68","1.90","2.01","3.27","1.36","6.23","1.14","1.76","2.06"
"15027","08-03-25 15:00","Italy","Serie A","2024/2025","Como","Venezia","1.64","4.00","5.88","1.06","10.00","1.32","3.50","1.99","1.91","3.43","1.34","7.06","1.11","1.90","1.90"
"15028","08-03-25 15:00","Italy","Serie A","2024/2025","Parma","Torino","3.69","3.24","2.22","1.07","9.47","1.34","3.37","2.24","1.73","3.94","1.27","8.05","1.09","1.83","1.98"
"15029","07-03-25 20:45","Italy","Serie A","2024/2025","Cagliari","Genoa","2.57","2.98","3.28","1.12","6.84","1.47","2.77","2.45","1.58","4.57","1.22","9.52","1.07","1.96","1.85"
"15030","03-03-25 20:45","Italy","Serie A","2024/2025","Juventus","Verona","1.35","4.84","11.70","1.07","9.47","1.27","3.95","1.90","2.01","3.27","1.36","6.23","1.14","2.22","1.66"
"15031","02-03-25 20:45","Italy","Serie A","2024/2025","AC Milan","Lazio","2.14","3.48","3.62","1.03","13.70","1.22","4.56","1.74","2.21","2.73","1.48","5.15","1.18","1.60","2.34"
"15032","02-03-25 18:00","Italy","Serie A","2024/2025","AS Roma","Como","1.98","3.56","4.07","1.07","9.47","1.34","3.37","2.14","1.80","3.94","1.27","8.05","1.09","1.90","1.90"
"15033","02-03-25 15:00","Italy","Serie A","2024/2025","Bologna","Cagliari","1.72","3.80","5.35","1.07","9.47","1.38","3.16","2.24","1.73","3.94","1.27","8.05","1.09","2.02","1.80"
"15034","02-03-25 15:00","Italy","Serie A","2024/2025","Genoa","Empoli","1.93","3.30","4.82","1.09","8.00","1.41","3.00","2.37","1.62","4.48","1.22","9.26","1.07","1.96","1.85"
"15035","02-03-25 12:30","Italy","Serie A","2024/2025","Monza","Torino","4.80","3.33","1.92","1.10","7.37","1.38","3.16","2.26","1.67","4.26","1.24","8.82","1.02","1.96","1.85"
"15036","01-03-25 20:45","Italy","Serie A","2024/2025","Udinese","Parma","1.90","3.66","4.34","1.05","11.60","1.27","3.95","1.90","2.01","3.09","1.39","6.23","1.14","1.72","2.12"
"15037","01-03-25 18:00","Italy","Serie A","2024/2025","Napoli","Inter","3.09","3.20","2.54","1.09","8.42","1.34","3.37","2.14","1.80","3.61","1.31","8.05","1.09","1.76","2.06"
"15038","01-03-25 15:00","Italy","Serie A","2024/2025","Atalanta","Venezia","1.20","7.42","15.90","1.02","17.90","1.18","5.26","1.47","2.77","2.16","1.73","3.61","1.31","2.02","1.80"
"15039","28-02-25 20:45","Italy","Serie A","2024/2025","Fiorentina","Lecce","1.90","3.30","5.01","1.10","7.37","1.44","2.90","2.35","1.63","4.57","1.22","9.52","1.07","2.02","1.80"
"15040","27-02-25 20:45","Italy","Serie A","2024/2025","Bologna","AC Milan","3.01","3.37","2.49","1.07","9.47","1.30","3.68","2.03","1.88","3.50","1.33","6.73","1.12","1.72","2.12"
"15041","24-02-25 20:45","Italy","Serie A","2024/2025","AS Roma","Monza","1.28","6.17","11.80","1.05","11.60","1.22","4.56","1.74","2.21","2.73","1.48","5.15","1.18","2.33","1.61"
"15042","23-02-25 20:45","Italy","Serie A","2024/2025","Cagliari","Juventus","4.88","3.50","1.85","1.07","9.47","1.34","3.37","2.14","1.80","3.94","1.27","8.05","1.09","1.90","1.90"
"15043","23-02-25 18:00","Italy","Serie A","2024/2025","Empoli","Atalanta","6.63","4.59","1.51","1.05","11.60","1.22","4.56","1.64","2.32","2.73","1.48","5.15","1.18","1.76","2.06"
"15044","23-02-25 15:00","Italy","Serie A","2024/2025","Verona","Fiorentina","3.89","3.42","2.08","1.09","8.42","1.38","3.16","2.26","1.67","4.26","1.24","8.82","1.08","1.96","1.85"
"15045","23-02-25 12:30","Italy","Serie A","2024/2025","Como","Napoli","3.88","3.05","2.25","1.10","7.45","1.43","2.93","2.33","1.63","4.53","1.22","9.43","1.07","1.94","1.86"
"15046","22-02-25 20:45","Italy","Serie A","2024/2025","Inter","Genoa","1.35","5.09","10.60","1.05","11.60","1.25","4.21","1.74","2.21","2.91","1.43","5.15","1.18","2.14","1.71"
"15047","22-02-25 18:00","Italy","Serie A","2024/2025","Torino","AC Milan","4.20","3.83","1.88","1.03","13.70","1.25","4.21","1.82","2.10","2.91","1.43","5.71","1.15","1.68","2.18"
"15048","22-02-25 15:00","Italy","Serie A","2024/2025","Parma","Bologna","4.65","3.81","1.81","1.05","11.60","1.30","3.68","1.90","2.01","3.27","1.36","6.73","1.12","1.86","1.95"
"15049","22-02-25 15:00","Italy","Serie A","2024/2025","Venezia","Lazio","6.06","4.15","1.60","1.05","11.60","1.27","3.95","1.90","2.01","3.27","1.36","6.23","1.14","1.93","1.87"
"15050","21-02-25 20:45","Italy","Serie A","2024/2025","Lecce","Udinese","3.10","3.08","2.61","1.09","8.00","1.41","3.00","2.37","1.62","4.48","1.22","9.26","1.07","1.90","1.90"
"15051","17-02-25 20:45","Italy","Serie A","2024/2025","Genoa","Venezia","1.83","3.46","5.09","1.10","7.37","1.44","2.90","2.35","1.63","4.57","1.22","9.52","1.07","2.06","1.76"
"15052","16-02-25 20:45","Italy","Serie A","2024/2025","Juventus","Inter","3.96","3.35","2.09","1.06","10.50","1.30","3.68","2.03","1.88","3.50","1.33","6.73","1.12","1.76","2.06"
"15053","16-02-25 18:00","Italy","Serie A","2024/2025","Parma","AS Roma","4.02","3.50","2.02","1.05","11.60","1.25","4.21","1.82","2.10","2.91","1.43","5.71","1.15","1.65","2.24"
"15054","16-02-25 15:00","Italy","Serie A","2024/2025","Monza","Lecce","2.82","3.18","2.77","1.12","6.67","1.52","2.62","2.60","1.53","5.05","1.18","10.50","1.06","1.96","1.85"
"15055","16-02-25 15:00","Italy","Serie A","2024/2025","Udinese","Empoli","1.90","3.47","4.60","1.08","8.57","1.40","3.05","2.36","1.66","4.36","1.23","8.90","1.08","1.90","1.90"
