squadra_casa,squadra_ospite,data_partita,valore_titolari_casa,valore_titolari_ospite
Unione Sportiva Sassuolo Calcio,Torino Calcio,2025-12-21,76500000,60500000
Associazione Calcio Fiorentina,Udinese Calcio,2025-12-21,184000000,77700000
Società Sportiva Lazio S.p.A.,Unione Sportiva Cremonese S.p.A.,2025-12-20,115500000,29200000
Juventus Football Club,Associazione Sportiva Roma,2025-12-20,391000000,196000000
Associazione Sportiva Roma,Calcio Como,2025-12-15,238000000,161300000
Udinese Calcio,Società Sportiva Calcio Napoli,2025-12-14,77700000,281500000
Associazione Calcio Fiorentina,Verona Hellas Football Club,2025-12-14,189000000,45500000
Genoa Cricket and Football Club,Football Club Internazionale Milano S.p.A.,2025-12-14,74900000,402000000
Associazione Calcio Milan,Unione Sportiva Sassuolo Calcio,2025-12-14,231000000,78000000
Bologna Football Club 1909,Juventus Football Club,2025-12-14,136500000,371000000
Torino Calcio,Unione Sportiva Cremonese S.p.A.,2025-12-13,68500000,34600000
Parma Calcio 1913,Società Sportiva Lazio S.p.A.,2025-12-13,57350000,106000000
Atalanta Bergamasca Calcio S.p.a.,Cagliari Calcio,2025-12-13,218000000,57800000
Unione Sportiva Lecce,Pisa Sporting Club,2025-12-12,35200000,36900000
Torino Calcio,Associazione Calcio Milan,2025-12-08,69000000,241000000
Pisa Sporting Club,Parma Calcio 1913,2025-12-08,41100000,59350000
Udinese Calcio,Genoa Cricket and Football Club,2025-12-08,73200000,60500000
Unione Sportiva Cremonese S.p.A.,Unione Sportiva Lecce,2025-12-07,34500000,33100000
Società Sportiva Calcio Napoli,Juventus Football Club,2025-12-07,298000000,335000000
Cagliari Calcio,Associazione Sportiva Roma,2025-12-07,57800000,212000000
Società Sportiva Lazio S.p.A.,Bologna Football Club 1909,2025-12-07,165000000,132500000
Football Club Internazionale Milano S.p.A.,Calcio Como,2025-12-06,444000000,163000000
Verona Hellas Football Club,Atalanta Bergamasca Calcio S.p.a.,2025-12-06,45500000,262500000
Unione Sportiva Sassuolo Calcio,Associazione Calcio Fiorentina,2025-12-06,91000000,182000000
Bologna Football Club 1909,Unione Sportiva Cremonese S.p.A.,2025-12-01,152000000,35000000
Unione Sportiva Lecce,Torino Calcio,2025-11-30,33100000,79500000
Atalanta Bergamasca Calcio S.p.a.,Associazione Calcio Fiorentina,2025-11-30,262500000,169000000
Associazione Sportiva Roma,Società Sportiva Calcio Napoli,2025-11-30,234000000,309000000
Pisa Sporting Club,Football Club Internazionale Milano S.p.A.,2025-11-30,41400000,454000000
Juventus Football Club,Cagliari Calcio,2025-11-29,314000000,54975000
Parma Calcio 1913,Udinese Calcio,2025-11-29,67350000,78200000
Associazione Calcio Milan,Società Sportiva Lazio S.p.A.,2025-11-29,261000000,136500000
Genoa Cricket and Football Club,Verona Hellas Football Club,2025-11-29,74400000,38400000
Calcio Como,Unione Sportiva Sassuolo Calcio,2025-11-28,159500000,92500000
Torino Calcio,Calcio Como,2025-11-24,63000000,157800000
Unione Sportiva Sassuolo Calcio,Pisa Sporting Club,2025-11-24,79500000,45400000
Società Sportiva Lazio S.p.A.,Unione Sportiva Lecce,2025-11-23,138000000,36600000
Unione Sportiva Cremonese S.p.A.,Associazione Sportiva Roma,2025-11-23,34500000,218000000
Verona Hellas Football Club,Parma Calcio 1913,2025-11-23,45400000,69350000
Football Club Internazionale Milano S.p.A.,Associazione Calcio Milan,2025-11-23,455000000,286000000
Cagliari Calcio,Genoa Cricket and Football Club,2025-11-22,57600000,81000000
Società Sportiva Calcio Napoli,Atalanta Bergamasca Calcio S.p.a.,2025-11-22,309000000,243500000
Associazione Calcio Fiorentina,Juventus Football Club,2025-11-22,169000000,334500000
Udinese Calcio,Bologna Football Club 1909,2025-11-22,77100000,128300000
Genoa Cricket and Football Club,Associazione Calcio Fiorentina,2025-11-09,81900000,131000000
Associazione Sportiva Roma,Udinese Calcio,2025-11-09,234000000,80700000
Football Club Internazionale Milano S.p.A.,Società Sportiva Lazio S.p.A.,2025-11-09,412000000,138500000
Atalanta Bergamasca Calcio S.p.a.,Unione Sportiva Sassuolo Calcio,2025-11-09,263500000,79500000
Bologna Football Club 1909,Società Sportiva Calcio Napoli,2025-11-09,153000000,283000000
Calcio Como,Cagliari Calcio,2025-11-08,163800000,60800000
Parma Calcio 1913,Associazione Calcio Milan,2025-11-08,89500000,287000000
Unione Sportiva Lecce,Verona Hellas Football Club,2025-11-08,31100000,48700000
Juventus Football Club,Torino Calcio,2025-11-08,345000000,77000000
Pisa Sporting Club,Unione Sportiva Cremonese S.p.A.,2025-11-07,37700000,38250000
Unione Sportiva Sassuolo Calcio,Genoa Cricket and Football Club,2025-11-03,92500000,81000000
Società Sportiva Lazio S.p.A.,Cagliari Calcio,2025-11-03,138500000,63200000
Parma Calcio 1913,Bologna Football Club 1909,2025-11-02,83000000,161000000
Associazione Calcio Milan,Associazione Sportiva Roma,2025-11-02,268000000,228000000
Torino Calcio,Pisa Sporting Club,2025-11-02,79000000,33600000
Associazione Calcio Fiorentina,Unione Sportiva Lecce,2025-11-02,167600000,31100000
Verona Hellas Football Club,Football Club Internazionale Milano S.p.A.,2025-11-02,45400000,355000000
Udinese Calcio,Atalanta Bergamasca Calcio S.p.a.,2025-11-01,80700000,222500000
Società Sportiva Calcio Napoli,Calcio Como,2025-11-01,271500000,157300000
Unione Sportiva Cremonese S.p.A.,Juventus Football Club,2025-11-01,34500000,310500000
Pisa Sporting Club,Società Sportiva Lazio S.p.A.,2025-10-30,42500000,138000000
Cagliari Calcio,Unione Sportiva Sassuolo Calcio,2025-10-30,59700000,83500000
Bologna Football Club 1909,Torino Calcio,2025-10-29,109000000,76000000
Associazione Sportiva Roma,Parma Calcio 1913,2025-10-29,233000000,82000000
Genoa Cricket and Football Club,Unione Sportiva Cremonese S.p.A.,2025-10-29,79400000,34500000
Football Club Internazionale Milano S.p.A.,Associazione Calcio Fiorentina,2025-10-29,451000000,165000000
Calcio Como,Verona Hellas Football Club,2025-10-29,170000000,52400000
Juventus Football Club,Udinese Calcio,2025-10-29,333500000,74600000
Atalanta Bergamasca Calcio S.p.a.,Associazione Calcio Milan,2025-10-28,241000000,256000000
Unione Sportiva Lecce,Società Sportiva Calcio Napoli,2025-10-28,38100000,227500000
Associazione Calcio Fiorentina,Bologna Football Club 1909,2025-10-26,168500000,165000000
Società Sportiva Lazio S.p.A.,Juventus Football Club,2025-10-26,138500000,299500000
Verona Hellas Football Club,Cagliari Calcio,2025-10-26,46900000,49375000
Torino Calcio,Genoa Cricket and Football Club,2025-10-26,72300000,77300000
Unione Sportiva Sassuolo Calcio,Associazione Sportiva Roma,2025-10-26,75800000,226000000
Parma Calcio 1913,Calcio Como,2025-10-25,86000000,129300000
Unione Sportiva Cremonese S.p.A.,Atalanta Bergamasca Calcio S.p.a.,2025-10-25,32700000,261000000
Udinese Calcio,Unione Sportiva Lecce,2025-10-25,79700000,32600000
Società Sportiva Calcio Napoli,Football Club Internazionale Milano S.p.A.,2025-10-25,236000000,396000000
Associazione Calcio Milan,Pisa Sporting Club,2025-10-24,258000000,43000000
Unione Sportiva Cremonese S.p.A.,Udinese Calcio,2025-10-20,32200000,79700000
Associazione Calcio Milan,Associazione Calcio Fiorentina,2025-10-19,239000000,160500000
Atalanta Bergamasca Calcio S.p.a.,Società Sportiva Lazio S.p.A.,2025-10-19,237000000,140500000
Genoa Cricket and Football Club,Parma Calcio 1913,2025-10-19,76600000,87000000
Cagliari Calcio,Bologna Football Club 1909,2025-10-19,62800000,128500000
Calcio Como,Juventus Football Club,2025-10-19,129300000,351000000
Torino Calcio,Società Sportiva Calcio Napoli,2025-10-18,78500000,204000000
Pisa Sporting Club,Verona Hellas Football Club,2025-10-18,39200000,45400000
Unione Sportiva Lecce,Unione Sportiva Sassuolo Calcio,2025-10-18,32100000,81300000
Associazione Sportiva Roma,Football Club Internazionale Milano S.p.A.,2025-10-18,217000000,396000000
Bologna Football Club 1909,Pisa Sporting Club,2025-10-05,112700000,40700000
Società Sportiva Calcio Napoli,Genoa Cricket and Football Club,2025-10-05,254500000,67300000
Udinese Calcio,Cagliari Calcio,2025-10-05,70600000,49600000
Associazione Calcio Fiorentina,Associazione Sportiva Roma,2025-10-05,161000000,233000000
Juventus Football Club,Associazione Calcio Milan,2025-10-05,299000000,234800000
Società Sportiva Lazio S.p.A.,Torino Calcio,2025-10-04,116300000,77500000
Football Club Internazionale Milano S.p.A.,Unione Sportiva Cremonese S.p.A.,2025-10-04,431000000,25450000
Parma Calcio 1913,Unione Sportiva Lecce,2025-10-04,87600000,32100000
Atalanta Bergamasca Calcio S.p.a.,Calcio Como,2025-10-04,221800000,109300000
Verona Hellas Football Club,Unione Sportiva Sassuolo Calcio,2025-10-03,44900000,83500000
Genoa Cricket and Football Club,Società Sportiva Lazio S.p.A.,2025-09-29,80400000,115300000
Parma Calcio 1913,Torino Calcio,2025-09-29,86600000,82000000
Unione Sportiva Lecce,Bologna Football Club 1909,2025-09-28,28100000,142200000
Associazione Calcio Milan,Società Sportiva Calcio Napoli,2025-09-28,263000000,226000000
Associazione Sportiva Roma,Verona Hellas Football Club,2025-09-28,232000000,44000000
Pisa Sporting Club,Associazione Calcio Fiorentina,2025-09-28,43700000,161000000
Unione Sportiva Sassuolo Calcio,Udinese Calcio,2025-09-28,85000000,69900000
Cagliari Calcio,Football Club Internazionale Milano S.p.A.,2025-09-27,48600000,455000000
Juventus Football Club,Atalanta Bergamasca Calcio S.p.a.,2025-09-27,350000000,150000000
Calcio Como,Unione Sportiva Cremonese S.p.A.,2025-09-27,128500000,33700000
Società Sportiva Calcio Napoli,Pisa Sporting Club,2025-09-22,260500000,34500000
Torino Calcio,Atalanta Bergamasca Calcio S.p.a.,2025-09-21,85300000,163000000
Associazione Calcio Fiorentina,Calcio Como,2025-09-21,162500000,98300000
Football Club Internazionale Milano S.p.A.,Unione Sportiva Sassuolo Calcio,2025-09-21,373000000,82500000
Unione Sportiva Cremonese S.p.A.,Parma Calcio 1913,2025-09-21,36650000,90000000
Società Sportiva Lazio S.p.A.,Associazione Sportiva Roma,2025-09-21,174000000,217000000
Verona Hellas Football Club,Juventus Football Club,2025-09-20,44000000,314000000
Bologna Football Club 1909,Genoa Cricket and Football Club,2025-09-20,118500000,80400000
Udinese Calcio,Associazione Calcio Milan,2025-09-20,60800000,239000000
Unione Sportiva Lecce,Cagliari Calcio,2025-09-19,30600000,50600000
Calcio Como,Genoa Cricket and Football Club,2025-09-15,130500000,73800000
Verona Hellas Football Club,Unione Sportiva Cremonese S.p.A.,2025-09-15,44900000,36900000
Associazione Calcio Milan,Bologna Football Club 1909,2025-09-14,223000000,145700000
Associazione Sportiva Roma,Torino Calcio,2025-09-14,217000000,80300000
