Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Day,Home_WinStreak,Away_WinStreak,Z_Home_Goals_Season,Z_Home_Wins_Season,Z_Away_Goals_Season,Z_Away_Wins_Season,GoalOnShotRatioHome,GoalOnShotRatioAway,HomeAdvantage,HomeElo,AwayElo,Home_Current_Points,Away_Current_Points,HomeValue,AwayValue,PointToMatchRatioHome,PointToMatchRatioAway
2015-09-27,Torino,Palermo,2.0,1.0,H,2015-2016,6,0,0,0.7815348429519328,0.685224269902273,0.1229812746110648,0.1498820678646219,0.2871428571428571,0.4333333333333334,1.0,1528.4479677776376,1495.7803268473567,10,7,36500000.0,30550000.0,1.6666666666666667,1.1666666666666667
2015-09-27,Verona,Lazio,1.0,2.0,A,2015-2016,6,0,1,-0.3305293364883865,-0.948356405382238,0.1282821144193156,0.69729082622783,0.2285714285714285,0.2277777777777777,0.0,1481.9151391913506,1500.5102253532073,3,9,20700000.0,91800000.0,0.5,1.5
2015-09-28,Atalanta,Sampdoria,2.0,1.0,H,2015-2016,6,1,1,0.1177829288326743,0.1500454319238852,1.2518247280304378,0.7112415719625772,0.303030303030303,0.4761904761904761,0.5,1515.529074144681,1521.061342437239,8,10,35150000.0,67700000.0,1.3333333333333333,1.6666666666666667
2015-09-28,Frosinone,Empoli,2.0,0.0,H,2015-2016,6,0,0,-0.7843351983978437,-0.945939136136822,0.1172758479191317,-0.3982536863358907,0.2666666666666666,0.3066666666666666,0.0,1455.88046271572,1472.4198911354724,1,4,14800000.0,25650000.0,0.1666666666666666,0.6666666666666666
2015-10-03,Carpi,Torino,2.0,1.0,H,2015-2016,7,0,1,-0.1122510110506532,-0.9463490558123072,0.8268936074980815,0.8981239324218306,0.2733333333333334,0.3633333333333333,0.0,1454.3062524375175,1534.804853603537,2,13,17600000.0,34800000.0,0.2857142857142857,1.8571428571428568
2015-10-03,Chievo,Verona,1.0,1.0,D,2015-2016,7,0,0,0.6417472573526494,0.4392976901925765,-0.3133128357855379,-0.9538153683194812,0.3666666666666667,0.4,0.6666666666666666,1531.0130381028473,1469.614071746255,11,3,18800000.0,20700000.0,1.5714285714285714,0.4285714285714285
2015-10-04,Empoli,Sassuolo,1.0,0.0,H,2015-2016,7,0,0,-0.1193933560453471,-0.4876794418197397,0.4403441871215679,0.4260998124756661,0.2666666666666666,0.3344444444444444,0.0,1460.9554277001705,1529.0778231907464,4,12,18250000.0,37100000.0,0.5714285714285714,1.7142857142857142
2015-10-04,Fiorentina,Atalanta,3.0,0.0,H,2015-2016,7,4,2,0.8393777455583751,1.378171846208076,0.2574440273443632,0.4380767160672034,0.4066666666666666,0.383030303030303,1.0,1551.7656734971033,1522.8751552321737,15,11,69600000.0,35150000.0,2.142857142857143,1.5714285714285714
2015-10-04,Juventus,Bologna,3.0,1.0,H,2015-2016,7,0,0,-0.1179167555002654,-0.5025086904897702,-0.6962045267883237,-0.490080786822814,0.3238095238095238,0.1666666666666666,0.0,1488.1039015924373,1455.6551843605955,5,3,217500000.0,30400000.0,0.7142857142857143,0.4285714285714285
2015-10-04,Lazio,Frosinone,2.0,0.0,H,2015-2016,7,2,1,0.2711443401707744,0.90151613243051,-0.5093998021658757,-0.4943615204634244,0.3166666666666666,0.3,1.0,1512.811292798303,1467.344926151022,12,4,90050000.0,15850000.0,1.7142857142857142,0.5714285714285714
